,title,watch_date,intro,url,rating
10,"翻译疑云 / Les Traducteurs
                             / 叛译同谋(港) / The Translators",2022-06-12,2019-11-23(佛朗哥乌兹克电影节) / 2020-01-29(法国) / 朗贝尔·维尔森 / 欧嘉·柯瑞兰寇 / 里卡多·斯卡马乔 / 西瑟·巴比特·科努德森 / 爱德华多·诺列加 / 埃里克斯·劳瑟 / 安娜·玛丽亚·斯图姆 / 弗雷德里克·周 / 玛丽亚·莱特 / 马诺利斯·马诺里斯 / 莎拉·纪欧多 / 帕特里克·波查 / 塞尔盖·内斯特连科 / 米格伦·米切夫 / 伊琳娜·穆雷勒 / 凯斯特·洛夫莱斯 / 雅各布·乌尔里克·罗曼 / 米歇尔‧邦波 / 丹尼尔·普雷斯利 / 马克·阿诺 / 法国 / 比利时 / 雷吉斯·罗因萨尔 / 105分钟 / 翻译疑云 / 悬疑 / 惊悚 / 罗曼·康宁 Romain Compingt / 丹尼尔·普雷斯利 Daniel Presley / 雷吉斯·罗因萨尔 Régis Roinsard / 意大利语 / 葡萄牙语 / 丹麦语 / 俄语 / 法语 / 英语 / 希腊语 / 汉语普通话 / 西班牙语,https://movie.douban.com/subject/30145117/,3
11,"唐顿庄园2 / Downton Abbey: A New Era
                             / 唐顿庄园电影版2 / 唐顿庄园：全新世代(港/台)",2022-06-11,2022-04-27(法国) / 2022-04-29(英国) / 2022-05-20(美国) / 2022-05-20(中国大陆) / 米歇尔·道克瑞 / 休·博纳维尔 / 伊丽莎白·麦戈文 / 玛吉·史密斯 / 劳拉·卡尔迈克尔 / 吉姆·卡特 / 布兰登·柯伊尔 / 凯文·道尔 / 琼安·弗洛加特 / 哈利·海顿-佩顿 / 罗伯·詹姆斯-克里尔 / 艾伦·里奇 / 菲利斯·洛根 / 索菲 麦希拉 / 塔彭丝·米德尔顿 / 莱斯利·尼科尔 / 艾美达·斯丹顿 / 佩内洛普·威尔顿 / 纳塔莉·贝伊 / 萨曼莎·邦德 / 拉奎尔·卡西迪 / 迈克尔·福克斯 / 休·丹西 / 乔纳森·考尔 / 苏·乔斯顿 / 道格拉斯·瑞斯 / 劳拉·哈德克 / 乔纳森·扎凯 / 多米尼克·韦斯特 / 亚历克斯·麦奎因 / 查理·沃森 / 保罗·柯普雷 / 奥利维耶·克拉弗里 / 罗斯·格林 / 尼克·欧文福特 / 戴维·罗布 / 英国 / 美国 / www.focusfeatures.com/downton-abbey/ / 西蒙·柯蒂斯 / 124分钟 / 120分钟(中国大陆) / 唐顿庄园2 / 剧情 / 爱情 / 朱利安·费罗斯 Julian Fellowes / 英语,https://movie.douban.com/subject/35008440/,5
12,"德州电锯杀人狂 / Texas Chainsaw Massacre
                             / 德州电锯杀人狂2022 / 德州电锯杀人狂重启版",2022-06-10,2022-02-18(美国网络) / 莎拉·亚金 / 艾尔西·费舍尔 / 马克·伯恩汉姆 / 约翰·拉尔奎特 / 雅各布·拉提摩尔 / 莫·邓福德 / 欧文·弗热瑞 / 杰西卡·阿莱恩 / 尼尔·哈德森 / 威廉·霍普 / 艾丽丝·克里奇 / 山姆·道格拉斯 / 乔林·科伊 / 美国 / 大卫·布鲁·加西亚 / 84分钟 / 德州电锯杀人狂 / 惊悚 / 恐怖 / 克里斯·托马斯·戴弗林 Chris Thomas Devlin / 费德·阿尔瓦雷兹 Fede Alvarez / 罗多·赛亚格斯 Rodo Sayagues / 金·亨克尔 Kim Henkel / 托比·霍珀 Tobe Hooper / 英语,https://movie.douban.com/subject/34967407/,2
13,"结婚白皮书 / 결혼백서
                             / marriagewhitepaper",2022-06-10,2022-05-23(韩国) / 李阵郁 / 李沇熹 / 宋镇宇 / 黄胜妍 / 金妍珠 / 金美京 / 林河龙 / 尹有善 / 吉勇宇 / 韩国 / 徐柱元 / 30分钟 / 结婚白皮书 / 爱情 / 崔怡朗 / 韩语,https://movie.douban.com/subject/35691910/,4
14,"与神同行：罪与罚 / 신과함께-죄와 벌
                             / 与神同行 / 与神一起",2022-06-06,2017-12-20(韩国) / 河正宇 / 车太贤 / 朱智勋 / 金香起 / 金东旭 / 艺秀晶 / 李政宰 / 吴达洙 / 林元熙 / 都暻秀 / 张光 / 郑海钧 / 金荷娜 / 金海淑 / 金秀安 / 马东锡 / 刘俊相 / 罗哲 / 金永 / 姜吉宇 / 李璟荣 / 金基政 / 郑顺元 / 李胜俊 / 薛诗妍 / 刘洙彬 / 尹志温 / 吴熙俊 / 金秀路 / 郑智妍 / 吴敏俊 / 洪仁 / 具承贤 / 李浚赫 / 郑志薰 / 李胜浚 / 杨志洙 / 元东延 / 权秀贞 / 太元硕 / 姜多贤 / 南一祐 / 成侑彬 / 金智安 / 韩国 / 金容华 / 139分钟 / 与神同行：罪与罚 / 剧情 / 奇幻 / 金容华 Yong-hwa Kim / 韩语,https://movie.douban.com/subject/11584016/,2
15,"完美陌生人 / Perfetti sconosciuti
                             / 完美谎情(港) / 波动的信息分享",2022-06-05,2016-02-11(意大利) / 2018-05-25(中国大陆) / 马可·贾利尼 / 卡夏·斯穆特尼亚克 / 爱德华多·莱奥 / 阿尔芭·罗尔瓦赫尔 / 瓦莱里奥·马斯坦德雷亚 / 安娜·福列塔 / 朱塞佩·巴蒂斯通 / 贝内黛塔·波尔卡罗利 / 伊丽莎白·德·帕罗奥 / 意大利 / 保罗·杰诺维塞 / 97分钟 / 96分钟(中国大陆) / 完美陌生人 / 剧情 / 喜剧 / 保罗·格诺维瑟 Paolo Genovese / 菲利波·博洛尼亚 Filippo Bologna / 保罗·克斯泰拉 Paolo Costella / 宝拉·马米妮 Paola Mammini / 罗兰多·拉维洛 Rolando Ravello / 意大利语,https://movie.douban.com/subject/26614893/,4
16,"黑客帝国 / The Matrix
                             / 22世纪杀人网络(港) / 廿二世纪杀人网络(港)",2022-06-04,1999-03-31(美国) / 2000-01-14(中国大陆) / 基努·里维斯 / 劳伦斯·菲什伯恩 / 凯瑞-安·莫斯 / 雨果·维文 / 格洛丽亚·福斯特 / 乔·潘托里亚诺 / 马库斯·钟 / 朱利安·阿拉汗加 / 马特·多兰 / 贝琳达·麦克洛里 / 安东尼雷派克 / 罗伯特·泰勒 / 阿达·尼科德莫 / 罗温·维特 / 塔玛拉·布朗 / 纳塔莉·特珍 / 比尔·扬 / 克里斯·斯科特 / 纳许·埃哲顿 / 户田惠子 / 沈晓谦 / 童自荣 / 保罗·戈达德 / 金永钢 / 张磊 / 美国 / 莉莉·沃卓斯基 / 拉娜·沃卓斯基 / 136分钟 / 黑客帝国 / 动作 / 科幻 / 安迪·沃卓斯基 Andy Wachowski / 拉娜·沃卓斯基 Lana Wachowski / 英语,https://movie.douban.com/subject/1291843/,5
17,"星际穿越 / Interstellar
                             / 星际启示录(港) / 星际效应(台)",2022-06-03,2014-11-07(美国) / 2014-11-12(中国大陆) / 2020-08-02(中国大陆重映) / 马修·麦康纳 / 安妮·海瑟薇 / 杰西卡·查斯坦 / 麦肯吉·弗依 / 卡西·阿弗莱克 / 迈克尔·凯恩 / 马特·达蒙 / 蒂莫西·柴勒梅德 / 艾伦·伯斯汀 / 约翰·利思戈 / 韦斯·本特利 / 大卫·吉亚西 / 比尔·欧文 / 托弗·戈瑞斯 / 科莱特·沃夫 / 弗朗西斯·X.麦卡蒂 / 安德鲁·博尔巴 / 乔什·斯图沃特 / 莱雅·卡里恩斯 / 利亚姆·迪金森 / 杰夫·赫普内尔 / 伊莱耶斯·加贝尔 / 布鲁克·史密斯 / 大卫·奥伊罗 / 威廉姆·德瓦内 / 拉什·费加 / 格里芬·弗雷泽 / 弗洛拉·诺兰 / 美国 / 英国 / 加拿大 / 克里斯托弗·诺兰 / 169分钟 / 星际穿越 / 剧情 / 科幻 / 冒险 / 乔纳森·诺兰 Jonathan Nolan / 克里斯托弗·诺兰 Christopher Nolan / 英语,https://movie.douban.com/subject/1889243/,5
18,"隐秘而伟大 / 은밀하게 위대하게
                             / 3个特攻美少年(港) / 伟大的隐藏者(台)",2022-06-02,2013-06-05(韩国) / 金秀贤 / 李玹雨 / 朴基雄 / 李彩英 / 孙贤周 / 高昌锡 / 金成均 / 张光 / 朴恩斌 / 崔宇植 / 严泰九 / 申正根 / 赵勇进 / 金范来 / 元贤俊 / 朴惠淑 / 姜恩卓 / 柳俊 / 利旻 / 洪景仁 / 具承贤 / 李妍京 / 朴辉顺 / 朱铉 / 成侑彬 / 高仁范 / 李相宝 / 文元柱 / 郑煐禥 / 韩国 / www.eunwe-movie.kr / 张哲洙 / 124分钟 / 133分钟(加长版) / 隐秘而伟大 / 喜剧 / 动作 / 尹洪基 Hong-gi Yoon / 金方贤 / 韩语,https://movie.douban.com/subject/6057942/,3
19,"青年警察 / 청년경찰
                             / 菜鸟警校生(台) / Midnight Runners",2022-06-02,2017-08-09(韩国) / 朴叙俊 / 姜河那 / 朴河宣 / 成东日 / 裴侑蓝 / 高俊 / 李世熙 / 李胜熙 / 金亨硕 / 申载敏 / 郑义順 / 林智亨 / 李恩泉 / 刘庆秀 / 黄灿盛 / 李圭成 / 金敏松 / 吴宥珍 / 禹尚基 / 金圭白 / 李秀仁 / 车始元 / 金英雅 / 李承熙 / 金其范 / 边佑锡 / 郑元中 / 智燦 / 李芝恩 / 李俊赫 / 姜敏泰 / 金姜贤 / 郑多恩 / 李浩贞 / 徐正妍 / 崔宏一 / 李元尚 / 金河燕 / 南文哲 / 吴宥真 / 韩国 / 金周焕 / 109分钟 / 青年警察 / 喜剧 / 动作 / 犯罪 / 金周煥 Kim Joo-Hwan / 韩语,https://movie.douban.com/subject/26892281/,4
